,Comp.1,Comp.2,Comp.3,Comp.4,Comp.5,Comp.6,Comp.7,Comp.8,Comp.9,Comp.10,Comp.11,Comp.12,Comp.13,Comp.14,Comp.15,Comp.16,Comp.17,Comp.18,Comp.19,Comp.20,Comp.21,Comp.22,Comp.23,Comp.24,Comp.25,Comp.26,Comp.27,Comp.28,Comp.29,Comp.30,Comp.31,Comp.32,Comp.33,Comp.34,Comp.35,Comp.36,Comp.37,Comp.38,Comp.39,Comp.40,Comp.41,Comp.42,Comp.43,Comp.44,Comp.45
Home_Avg_HT_Goal_Diff,0.155268021,-0.161805105,-0.090896218,-0.30088196,0.181445658,-0.009714412,0.090073559,0.066734772,0.114721231,-0.020804394,-0.104712297,-0.024483574,-0.033291753,0.027486525,-0.007970208,-0.020400592,-0.009091572,-0.126136352,0.010755989,0.266235618,-0.176143665,0.033775437,0.06395348,-0.395235387,-0.425367863,-0.004051867,-0.025378425,0.02324534,-0.055728251,0.045077026,0.134609531,0.15160957,-0.304091077,0.165952281,-0.211977904,-0.056282634,-0.007739962,-0.045215998,-0.090958104,-0.261937756,0.096070404,0.010955565,-0.112559198,0.020411243,0.021330023
Home_Avg_HT_Goal_Scored,0.155927208,-0.144855408,-0.1063674,-0.302016227,0.171703632,0.00210643,0.083592301,0.025505385,0.080452482,-0.004719411,-0.057916537,0.011819079,-0.028843094,-0.015953697,-0.021953197,-0.052996465,0.006705862,-0.166529558,-0.056376521,0.278444575,-0.061880073,0.364087577,-0.4434842,0.005026453,-0.037625887,0.172030465,-0.044811945,-0.077736047,0.049686168,-0.034297075,-0.127051249,-0.076368421,0.390553105,-0.103730216,0.174712747,0.097650694,0.022121389,0.060164188,0.076304591,0.246350534,-0.092400084,0.001428007,0.104129702,-0.027137283,-0.018286876
Home_Avg_Win,0.179848245,-0.169352358,-0.104790639,-0.231064978,0.10635587,-0.005295429,0.098502671,-0.08141564,-0.262030157,0.110863185,0.071092025,0.08332808,0.06617755,-0.000321546,-0.008115014,0.02581921,0.065307302,0.062383582,-0.012082186,-0.026335333,-0.084613494,-0.236333045,0.357216281,0.028821065,0.087073039,-0.12791652,0.009213842,-0.00364415,0.15335226,0.032168697,0.074382032,-0.019855051,0.539969346,0.071492772,-0.063761435,0.237821505,0.078990768,0.214151282,-0.129091263,-0.212501985,0.051102193,0.065642213,-0.086370293,0.087734511,-0.024591387
Odd_Close_oddX_12BET,0.188527653,-0.089131489,0.076807545,0.300227071,0.349649195,0.003764633,-0.164168434,0.048939822,-0.050387017,0.104333197,-0.060974677,-0.01994829,-0.029064778,-0.104292298,-0.015300268,-0.015830751,-0.042193101,-0.064675861,0.014635723,-0.002486971,0.02905414,0.054883833,-0.003824694,0.020975517,0.021265822,-0.072990205,0.013679487,-0.000250083,0.05203723,-0.014463089,-0.015844359,0.088911578,-0.175022514,0.205451009,0.295270747,0.262146203,0.388596862,0.008600281,-0.098020649,0.069196515,-0.019055892,-0.041628838,0.002285522,0.255862189,0.435646377
Odd_Open_oddX_10Bet,0.193865365,-0.084698004,0.084331567,0.316629896,0.350050771,-0.001942582,-0.153033349,0.041121529,-0.004645699,0.081926763,-0.003583528,-0.007408904,-0.014896256,-0.039759355,-0.030141046,0.010600878,-0.024812387,-0.05265391,0.005544221,0.004872705,-0.019354023,-0.007366446,-0.025835932,-0.032726539,0.00202984,-0.026173783,-0.027688621,-0.014388576,-0.0406871,-0.01239889,-0.010317837,-0.056340001,0.12371856,-0.190102414,-0.252363178,-0.223426206,-0.347624644,0.022962611,0.187827951,-0.077597278,0.098489231,-0.05768546,0.195416719,0.510229214,-0.197401509
Home_Avg_Shots_Made,0.194987462,-0.173647826,0.040559426,0.065202449,-0.290259668,0.003156075,-0.032628253,0.075251411,-0.038528875,0.087097475,-0.077509403,-0.060265022,-0.042770638,-0.006071166,-0.056331014,-0.05854961,-0.055858749,-0.032632683,-0.015218295,-0.212339864,0.184124302,0.12284397,-0.126161764,0.017351964,-0.121612246,0.056821686,0.043919749,0.173914596,0.425072233,0.080057482,0.376803881,0.172491895,0.035754432,0.128871344,-0.181663881,-0.028547258,-0.004546681,7.52E-05,0.158743841,0.234665322,-0.134077637,0.234918928,-0.246189509,0.121051665,-0.06006697
Home_Avg_Goal_Scored,0.196174745,-0.1775449,-0.092904998,-0.249722717,0.098671061,-0.00174059,0.064108976,0.032393953,-0.044804859,0.040044374,-0.023302529,0.027973074,0.010691288,-0.010510952,0.007037916,-0.063532364,0.032329002,-0.037817299,-0.063452271,-0.007114478,0.034220811,0.117291341,-0.154617768,0.416121769,0.454049414,-0.069314807,0.082171415,0.029370949,0.125790016,-0.046249334,-0.068414846,-0.117746895,-0.369256086,-0.066268307,0.008415315,-0.14482982,-0.083949248,-0.101272811,-0.095632627,-0.304992269,0.104349481,0.095910843,-0.240286024,0.040292937,-0.022739874
Home_Avg_Goal_Diff,0.199180043,-0.191927094,-0.09065319,-0.25166841,0.093221131,-0.005288418,0.060046597,0.0567056,0.048306471,0.015055557,-0.07614707,-0.021280367,0.000439383,0.015054873,0.006281371,-0.014646352,-0.001959903,-0.012622535,0.007009435,-0.007641274,-0.082033197,-0.216552376,0.356363645,0.046871116,0.130412266,-0.181412532,0.030070436,-0.007219554,0.102669398,0.029226588,0.051856456,-0.038478854,-0.224915949,-0.045107543,0.001883749,-0.150658576,-0.023347126,-0.068904486,0.16910804,0.517827486,-0.170814938,-0.180403866,0.353577859,-0.112447672,0.028886135
Home_Avg_Shot_Diff,0.20665973,-0.182708969,0.0447185,0.082590593,-0.262002947,-0.009377222,-0.042470296,0.112662668,-0.006418524,0.052237467,-0.030057861,-0.040996026,0.014586987,0.061330808,0.001513327,-0.02890565,-0.02161256,0.018182233,-0.014833492,-0.172123565,0.138889096,0.029451703,-0.000594913,-0.114636639,-0.234704966,0.104999177,-0.049201599,-0.137283043,0.427785732,-0.069676705,-0.124037456,-0.233016394,-0.022845568,-0.160546333,0.171041563,-0.045577375,-0.033295406,0.014783557,-0.190661539,-0.282676422,0.169270873,-0.297088067,0.305355352,-0.148979504,0.072573704
Home_Avg_SoT_Made,0.209122964,-0.185354329,-0.021229675,-0.060064063,-0.149364461,-0.008701022,0.023108962,0.070744867,-0.019249042,0.050478401,-0.070392896,-0.051303727,-0.006790278,-0.030167799,0.011395749,-0.077071978,0.027944407,-0.044896745,0.013858915,-0.299357795,0.239081326,0.109283731,-0.199692445,0.031984374,0.120287051,-0.132419459,0.021281994,0.096876808,-0.547495705,0.01881586,0.068120083,0.210584,0.099693439,0.199290684,-0.239981848,0.062707243,0.039403763,0.076756478,-0.089934774,-0.088802282,0.040113876,-0.219478685,0.280768133,-0.119695538,0.036350988
Home_Avg_SoT_Diff,0.212697333,-0.198499215,-0.019624875,-0.065474985,-0.14816682,-0.012384104,0.003419007,0.108465923,0.030312205,0.019867763,-0.058592104,-0.048996226,0.01293402,0.02290772,0.036566011,-0.035973636,0.014148621,-0.011357477,0.022667961,-0.25246913,0.139150861,-0.105530784,0.10720545,-0.234608958,-0.130437649,-0.138817923,-0.072535708,-0.149945609,-0.357006825,-0.073000904,-0.266734278,-0.116046502,0.002523726,-0.236251628,0.3396265,0.011666059,-0.044592912,-0.104200337,0.103552265,0.088428213,-0.053663748,0.273087535,-0.345485955,0.14217114,-0.05971347
