"","day","method","sample","sample_no","time","accu","rps"
"300",3,"w",172,25,2,0.580838323353293,0.175150023903343
"301",2,"s",169,21,3.28,0.568862275449102,0.175157512011859
"302",2,"s",176,19,3.28,0.562874251497006,0.175178546502307
"303",3,"s",165,21,2.88,0.592814371257485,0.175215660441198
"304",4,"s",177,21,2.81,0.574850299401198,0.175256604543622
"305",4,"s",173,19,2.81,0.574850299401198,0.175256766530935
"306",3,"w",164,19,2,0.580838323353293,0.175273585482708
"307",4,"t",172,25,3.94999999999999,0.55688622754491,0.175288581261339
"308",3,"s",167,23,2.88,0.592814371257485,0.17531540645504
"309",4,"s",177,23,2.81,0.568862275449102,0.17535338261878
"310",3,"w",167,23,2,0.568862275449102,0.175353548296511
"311",4,"t",172,21,3.94999999999999,0.568862275449102,0.175353721155949
"312",2,"s",173,23,3.28,0.580838323353293,0.175362971365017
"313",2,"s",164,23,3.28,0.574850299401198,0.175383103389142
"314",3,"w",171,19,2,0.574850299401198,0.175390639908888
"315",2,"w",173,23,2.44,0.562874251497006,0.175410788218976
"316",2,"w",160,23,2.44,0.574850299401198,0.175411993400721
"317",2,"w",173,25,2.44,0.568862275449102,0.175426372267621
"318",2,"s",167,23,3.28,0.568862275449102,0.17545612963827
"319",2,"w",169,25,2.44,0.562874251497006,0.175460563955868
"320",2,"w",169,19,2.44,0.562874251497006,0.175461113733702
"321",4,"t",167,19,3.94999999999999,0.568862275449102,0.175469252188358
"322",2,"w",169,23,2.44,0.562874251497006,0.175470959298427
"323",2,"t",176,21,3.95,0.562874251497006,0.17548777546067
"324",3,"t",176,21,4.10999999999999,0.562874251497006,0.17548777546067
"325",2,"w",167,23,2.44,0.562874251497006,0.175494444490519
"326",2,"t",176,23,3.95,0.562874251497006,0.175519316885997
"327",3,"t",176,23,4.10999999999999,0.562874251497006,0.175519316885997
"328",4,"s",167,21,2.81,0.55688622754491,0.175541693627484
"329",4,"t",173,19,3.94999999999999,0.568862275449102,0.175569995019529
"330",2,"w",164,19,2.44,0.562874251497006,0.175573754879414
"331",3,"s",177,25,2.88,0.598802395209581,0.175575937967354
"332",4,"s",172,25,2.81,0.562874251497006,0.175577968728414
"333",4,"s",173,25,2.81,0.568862275449102,0.175583222702922
"334",2,"t",164,19,3.95,0.568862275449102,0.175600067538112
"335",3,"t",164,19,4.10999999999999,0.568862275449102,0.175600067538112
"336",2,"w",165,19,2.44,0.574850299401198,0.175601581652662
"337",2,"s",164,21,3.28,0.55688622754491,0.175609238543126
"338",2,"s",165,25,3.28,0.550898203592814,0.175626719058249
"339",2,"w",169,21,2.44,0.562874251497006,0.175634404814196
"340",4,"s",173,23,2.81,0.568862275449102,0.175643184074049
